"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"101","RRV001","all","con_0009.nii","dessert","rest","-44_27_33","left dlPFC","cognitive_control",0.726676,1.1492,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"102","RRV001","all","con_0009.nii","dessert","rest","44_8_34","right MFG","cognitive_control",0.353381,0.696145,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"103","RRV001","all","con_0009.nii","dessert","rest","-42_7_36","left MFG","cognitive_control",2.7693,1.73742,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"104","RRV001","all","con_0009.nii","dessert","rest","54_-44_43","right IPL","cognitive_control",1.19727,0.980471,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"105","RRV001","all","con_0009.nii","dessert","rest","-53_-50_39","left IPL","cognitive_control",0.878753,1.01687,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"106","RRV001","all","con_0009.nii","dessert","rest","32_-59_41","right IPS","cognitive_control",0.711772,0.401292,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"107","RRV001","all","con_0009.nii","dessert","rest","-32_-58_46","left IPS","cognitive_control",3.13674,1.2744,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",1503.78
"108","RRV001","all","con_0009.nii","dessert","rest","-6_49_1","left vmPFC","value",-0.702103,0.424677,"value_association-test_z_FDR_0.01","association","unmasked",878.296
"109","RRV001","1","con_0010.nii","nature","rest","9_3_-6","right VS","reward",-0.0419782,0.342611,"reward_association-test_z_FDR_0.01","association","unmasked",5242.18
"110","RRV001","1","con_0010.nii","nature","rest","-9_3_-6","left VS","reward",0.570307,0.552311,"reward_association-test_z_FDR_0.01","association","unmasked",5242.18
"111","RRV001","1","con_0010.nii","nature","rest","-30_33_-18","left lOFC","reward",0.244963,0.313391,"reward_association-test_z_FDR_0.01","association","unmasked",5242.18
"112","RRV001","1","con_0010.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.0680897,0.24051,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"113","RRV001","1","con_0010.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.226076,0.373064,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"114","RRV001","1","con_0010.nii","nature","rest","44_8_34","right MFG","cognitive_control",0.618694,0.385851,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"115","RRV001","1","con_0010.nii","nature","rest","-42_7_36","left MFG","cognitive_control",1.28186,0.654901,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"116","RRV001","1","con_0010.nii","nature","rest","54_-44_43","right IPL","cognitive_control",-0.194509,0.145577,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"117","RRV001","1","con_0010.nii","nature","rest","-53_-50_39","left IPL","cognitive_control",0.256018,0.170885,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"118","RRV001","1","con_0010.nii","nature","rest","32_-59_41","right IPS","cognitive_control",0.388466,0.191978,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"119","RRV001","1","con_0010.nii","nature","rest","-32_-58_46","left IPS","cognitive_control",0.988318,0.513843,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",684.07
"120","RRV001","1","con_0010.nii","nature","rest","-6_49_1","left vmPFC","value",-0.08099,0.245064,"value_association-test_z_FDR_0.01","association","unmasked",1018.67
"121","RRV001","2","con_0011.nii","nature","rest","9_3_-6","right VS","reward",-0.0749084,0.289952,"reward_association-test_z_FDR_0.01","association","unmasked",73.0758
"122","RRV001","2","con_0011.nii","nature","rest","-9_3_-6","left VS","reward",-0.00968233,0.303211,"reward_association-test_z_FDR_0.01","association","unmasked",73.0758
"123","RRV001","2","con_0011.nii","nature","rest","-30_33_-18","left lOFC","reward",0.242059,0.192091,"reward_association-test_z_FDR_0.01","association","unmasked",73.0758
"124","RRV001","2","con_0011.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.599399,0.566294,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",78.7795
"125","RRV001","2","con_0011.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.228693,0.30563,"cognitive_control_association-test_z_FDR_0.01","association","unmasked",78.7795
