"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"131","RRV001","2","con_0011.nii","nature","rest","-32_-58_46","left IPS","cognitive_control",0.876929,0.500028,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",8333.8
"132","RRV001","2","con_0011.nii","nature","rest","-6_49_1","left vmPFC","value",-0.494344,0.291432,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",3211.48
"133","RRV001","all","con_0012.nii","nature","rest","9_3_-6","right VS","reward",-0.116887,0.584075,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28555.4
"134","RRV001","all","con_0012.nii","nature","rest","-9_3_-6","left VS","reward",0.560624,0.543808,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28555.4
"135","RRV001","all","con_0012.nii","nature","rest","-30_33_-18","left lOFC","reward",0.487022,0.31802,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28555.4
"136","RRV001","all","con_0012.nii","nature","rest","46_28_31","right dlPFC","cognitive_control",-0.667488,0.53161,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"137","RRV001","all","con_0012.nii","nature","rest","-44_27_33","left dlPFC","cognitive_control",0.45477,0.609073,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"138","RRV001","all","con_0012.nii","nature","rest","44_8_34","right MFG","cognitive_control",0.309989,0.656737,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"139","RRV001","all","con_0012.nii","nature","rest","-42_7_36","left MFG","cognitive_control",1.83755,1.15662,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"140","RRV001","all","con_0012.nii","nature","rest","54_-44_43","right IPL","cognitive_control",-0.232163,0.37784,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"141","RRV001","all","con_0012.nii","nature","rest","-53_-50_39","left IPL","cognitive_control",0.505144,0.36203,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"142","RRV001","all","con_0012.nii","nature","rest","32_-59_41","right IPS","cognitive_control",0.783243,0.360774,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"143","RRV001","all","con_0012.nii","nature","rest","-32_-58_46","left IPS","cognitive_control",1.86525,1.00223,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",30706.6
"144","RRV001","all","con_0012.nii","nature","rest","-6_49_1","left vmPFC","value",-0.575334,0.512472,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",15893
"145","RRV001","1","con_0013.nii","social","rest","9_3_-6","right VS","reward",0.337268,0.523124,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35743.4
"146","RRV001","1","con_0013.nii","social","rest","-9_3_-6","left VS","reward",0.326946,0.466691,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35743.4
"147","RRV001","1","con_0013.nii","social","rest","-30_33_-18","left lOFC","reward",0.398833,0.245042,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",35743.4
"148","RRV001","1","con_0013.nii","social","rest","46_28_31","right dlPFC","cognitive_control",0.193234,0.34666,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",28269.3
"149","RRV001","1","con_0013.nii","social","rest","-44_27_33","left dlPFC","cognitive_control",0.0378355,0.398327,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",28269.3
"150","RRV001","1","con_0013.nii","social","rest","44_8_34","right MFG","cognitive_control",0.994408,0.53099,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",28269.3
